firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name169,lastname169,April,13,1998,BS Management Engineering,Smart,Female
name170,lastname170,June,9,2000,BS Information Technology Entrepreneurship,Globe,Female
name171,lastname171,August,17,1997,BS Legal Managemnet,Smart,Female
name172,lastname172,September,24,2000,BS Communications Technology,Globe,Female
name173,lastname173,August,13,1998,BS Management Engineering,Globe,Female
name174,lastname174,October,19,1998,BS Management Engineering,Globe,Male
name175,lastname175,June,1,1999,BS Management Engineering,Globe,Female
name176,lastname176,June,9,1999,BS Information Technology Entrepreneurship,Globe,Female
name177,lastname177,July,1,2001,BS Management Engineering,Globe,Male
name178,lastname178,June,12,2001,BS Information Technology Entrepreneurship,Globe,Female
name179,lastname179,May,4,1998,BS Legal Management,Globe,Male
name180,lastname180,March,22,1999,BS Information Technology Entrepreneurship,Globe,Male
name181,lastname181,March,27,1999,BS Management Engineering,Globe,Female
name182,lastname182,June,2,1998,BS Communications Technology,Globe,Male
name183,lastname183,June,17,1997,BS Management,Smart,Female
name184,lastname184,December,23,1998,BS Information Technology Entrepreneurship,Globe,Female
name185,lastname185,April,18,1997,BS Management Engineering,Globe,Male
name186,lastname186,November,19,1997,BS Management Engineering,Smart,Female
name187,lastname187,April,18,2001,BS Legal Managemnet,Globe,Male
name188,lastname188,September,2,1997,BS Management Engineering,Smart,Male
name189,lastname189,December,7,2000,BS Management,Smart,Female
name190,lastname190,July,6,1997,BS Management,Smart,Male
name191,lastname191,May,7,1999,BS Legal Management,Smart,Male
name192,lastname192,July,9,1999,BS Information Technology Entrepreneurship,Globe,Male
name193,lastname193,May,25,1997,BS Management Engineering,Smart,Female
name194,lastname194,September,2,1998,BS Legal Management,Globe,Male
name195,lastname195,July,15,2001,BS Management Engineering,Globe,Female
name196,lastname196,May,6,2001,BS Management Engineering,Globe,Male
name197,lastname197,October,24,2001,BS Management Engineering,Smart,Female
name198,lastname198,June,15,1997,BS Legal Management,Globe,Female
name199,lastname199,January,4,1999,BS Communications Technology,Globe,Female
name200,lastname200,November,13,1998,BS Management,Smart,Female
name201,lastname201,October,27,1997,BS Management,Globe,Female
name202,lastname202,April,15,2000,BS Management,Smart,Female
name203,lastname203,March,25,1998,BS Management Engineering,Smart,Female
name204,lastname204,November,4,1997,BS Information Technology Entrepreneurship,Globe,Male
name205,lastname205,March,12,2000,BS Management,Globe,Female
name206,lastname206,December,19,1997,BS Management Engineering,Globe,Female
name207,lastname207,November,27,2000,BS Information Technology Entrepreneurship,Smart,Male
name208,lastname208,October,20,1999,BS Communications Technology,Smart,Male
name209,lastname209,March,16,1999,BS Communications Technology,Globe,Female
name210,lastname210,April,2,1998,BS Information Technology Entrepreneurship,Globe,Female
name211,lastname211,January,26,1999,BS Management,Globe,Female
name212,lastname212,November,2,1999,BS Management,Globe,Male
name213,lastname213,August,23,1999,BS Management,Smart,Female
name214,lastname214,June,8,1999,BS Communications Technology,Globe,Female
name215,lastname215,November,1,1998,BS Communications Technology,Globe,Female
name216,lastname216,October,23,1999,BS Legal Management,Globe,Female
name217,lastname217,May,2,1998,BS Management Engineering,Globe,Male
name218,lastname218,April,19,2001,BS Communications Technology,Globe,Female
name219,lastname219,May,28,1997,BS Information Technology Entrepreneurship,Smart,Female
name220,lastname220,March,25,2001,BS Management,Globe,Female
name221,lastname221,July,12,2001,BS Management Engineering,Globe,Male
name222,lastname222,September,5,1999,BS Legal Management,Globe,Male
name223,lastname223,February,9,1997,BS Management,Smart,Male
name224,lastname224,December,18,2001,BS Management,Globe,Female
name225,lastname225,February,27,1998,BS Management Engineering,Globe,Male
name226,lastname226,March,12,1997,BS Legal Management,Smart,Female
name227,lastname227,October,8,1997,BS Management,Smart,Female
name228,lastname228,November,16,1999,BS Management,Globe,Female
name229,lastname229,June,11,1999,BS Legal Management,Globe,Male
name230,lastname230,December,4,1997,BS Communications Technology,Globe,Female
name231,lastname231,May,22,1998,BS Information Technology Entrepreneurship,Globe,Male
name232,lastname232,April,17,2000,BS Management,Globe,Male
name233,lastname233,June,13,2001,BS Management Engineering,Globe,Male
name234,lastname234,February,6,1997,BS Communications Technology,Globe,Male
name235,lastname235,July,7,1999,BS Management,Smart,Male
name236,lastname236,October,23,1998,BS Management,Globe,Male
name237,lastname237,December,14,1998,BS Legal Management,Globe,Male
name238,lastname238,March,4,2000,BS Communications Technology,Globe,Male
name239,lastname239,February,5,1997,BS Legal Managemnet,Globe,Male
name240,lastname240,April,21,2001,BS Legal Management,Globe,Male
name241,lastname241,September,7,2000,BS Communications Technology,Globe,Female
name242,lastname242,June,1,1998,BS Information Technology Entrepreneurship,Globe,Female
name243,lastname243,November,19,1998,BS Communications Technology,Smart,Male
name244,lastname244,January,1,2000,BS Communications Technology,Smart,Male
name245,lastname245,March,5,1999,BS Management Engineering,Smart,Female
name246,lastname246,January,26,1998,BS Communications Technology,Smart,Female
name247,lastname247,August,3,1998,BS Management,Globe,Female
name248,lastname248,March,22,1998,BS Legal Management,Globe,Male
name249,lastname249,December,9,2000,BS Management Engineering,Globe,Male
name250,lastname250,May,24,2001,BS Management Engineering,Globe,Female
name251,lastname251,January,9,2000,BS Communications Technology,Globe,Female
name252,lastname252,December,6,2001,BS Management,Globe,Male
name253,lastname253,April,18,1997,BS Management Engineering,Smart,Female
name254,lastname254,August,3,1997,BS Communications Technology,Globe,Female
name255,lastname255,January,6,2001,BS Management Engineering,Globe,Male
name256,lastname256,December,7,1997,BS Management,Smart,Male
name257,lastname257,April,19,1997,BS Information Technology Entrepreneurship,Globe,Female
name258,lastname258,June,7,2001,BS Information Technology Entrepreneurship,Globe,Female
name259,lastname259,March,20,1999,BS Information Technology Entrepreneurship,Globe,Male
name260,lastname260,November,15,2000,BS Communications Technology,Globe,Male
name261,lastname261,June,4,1997,BS Legal Managemnet,Smart,Male
name262,lastname262,July,26,1998,BS Communications Technology,Globe,Female
name263,lastname263,January,1,2000,BS Management,Globe,Male
name264,lastname264,November,1,2001,BS Information Technology Entrepreneurship,Smart,Male
name265,lastname265,November,26,2001,BS Management,Smart,Female
name266,lastname266,December,5,1997,BS Management,Globe,Female
name267,lastname267,July,5,1999,BS Legal Managemnet,Globe,Male
name268,lastname268,October,21,1999,BS Management Engineering,Globe,Female
name269,lastname269,October,18,2001,BS Legal Management,Smart,Female
name270,lastname270,April,24,1998,BS Information Technology Entrepreneurship,Globe,Female
name271,lastname271,March,25,1997,BS Management Engineering,Smart,Female
name272,lastname272,July,27,1997,BS Information Technology Entrepreneurship,Globe,Female
name273,lastname273,August,7,1999,BS Communications Technology,Globe,Female
name274,lastname274,January,5,1997,BS Management,Globe,Female
name275,lastname275,April,20,1998,BS Communications Technology,Globe,Male
name276,lastname276,January,12,2001,BS Information Technology Entrepreneurship,Globe,Female
name277,lastname277,December,24,1999,BS Legal Management,Globe,Female
name278,lastname278,February,8,1997,BS Management,Globe,Female
name279,lastname279,October,12,1998,BS Legal Management,Globe,Female
name280,lastname280,November,15,2000,BS Management,Smart,Female
name281,lastname281,February,12,1997,BS Management,Smart,Male
name282,lastname282,March,23,1998,BS Management,Smart,Male
name283,lastname283,November,3,1997,BS Information Technology Entrepreneurship,Smart,Female
name284,lastname284,August,13,1999,BS Communications Technology,Globe,Male
name285,lastname285,September,17,1998,BS Communications Technology,Globe,Male
name286,lastname286,December,28,1999,BS Information Technology Entrepreneurship,Globe,Male
name287,lastname287,February,18,1998,BS Communications Technology,Globe,Male
name288,lastname288,April,4,2001,BS Information Technology Entrepreneurship,Globe,Female
name289,lastname289,October,15,1997,BS Management Engineering,Globe,Male
name290,lastname290,July,8,1997,BS Management Engineering,Smart,Female
name291,lastname291,December,27,2000,BS Management,Smart,Female
name292,lastname292,January,25,1999,BS Communications Technology,Globe,Female
name293,lastname293,March,1,1999,BS Management Engineering,Globe,Male
name294,lastname294,January,14,1998,BS Legal Management,Smart,Male
name295,lastname295,November,19,1999,BS Information Technology Entrepreneurship,Smart,Male
name296,lastname296,April,26,1999,BS Management,Globe,Male
name297,lastname297,November,10,2000,BS Legal Managemnet,Globe,Female
name298,lastname298,January,8,1999,BS Management,Globe,Female
name299,lastname299,February,18,1998,BS Management,Globe,Male
name300,lastname300,May,22,1997,BS Communications Technology,Smart,Male
name301,lastname301,April,27,1999,BS Legal Managemnet,Globe,Female
name302,lastname302,May,1,2001,BS Legal Managemnet,Smart,Female
name303,lastname303,December,18,1997,BS Legal Managemnet,Globe,Male
name304,lastname304,September,18,2000,BS Communications Technology,Smart,Male
name305,lastname305,January,15,1997,BS Management,Globe,Male
name306,lastname306,March,3,1998,BS Legal Management,Globe,Female
name307,lastname307,February,12,2000,BS Information Technology Entrepreneurship,Smart,Male
name308,lastname308,December,13,1998,BS Communications Technology,Globe,Male
name309,lastname309,November,8,1998,BS Management,Globe,Male
name310,lastname310,August,21,1998,BS Information Technology Entrepreneurship,Smart,Male
name311,lastname311,June,23,1998,BS Management Engineering,Smart,Male
name312,lastname312,May,16,1999,BS Management Engineering,Smart,Female
name313,lastname313,August,8,1997,BS Information Technology Entrepreneurship,Globe,Female
name314,lastname314,July,19,1998,BS Management,Smart,Male
name315,lastname315,December,19,1998,BS Legal Management,Globe,Female
name316,lastname316,April,14,2001,BS Communications Technology,Globe,Male
name317,lastname317,September,16,1997,BS Management Engineering,Smart,Male
name318,lastname318,March,5,1999,BS Communications Technology,Globe,Male
name319,lastname319,August,10,2000,BS Management Engineering,Globe,Male
name320,lastname320,July,21,1997,BS Management,Globe,Male
name321,lastname321,August,26,1997,BS Communications Technology,Globe,Female
name322,lastname322,June,14,1999,BS Legal Management,Smart,Female
name323,lastname323,June,8,1998,BS Management,Globe,Male
name324,lastname324,July,21,1998,BS Management Engineering,Smart,Male
name325,lastname325,March,24,1998,BS Management Engineering,Globe,Female
name326,lastname326,February,24,2000,BS Communications Technology,Smart,Female
name327,lastname327,July,16,1997,BS Information Technology Entrepreneurship,Globe,Male
name328,lastname328,June,1,1999,BS Information Technology Entrepreneurship,Globe,Female
name329,lastname329,December,5,1997,BS Information Technology Entrepreneurship,Smart,Female
name330,lastname330,July,3,1998,BS Information Technology Entrepreneurship,Smart,Male
name331,lastname331,January,26,1998,BS Management,Globe,Female
name332,lastname332,April,18,1999,BS Legal Management,Smart,Female
name333,lastname333,June,17,2000,BS Communications Technology,Globe,Male
name334,lastname334,January,2,1998,BS Legal Managemnet,Globe,Male
name335,lastname335,May,21,1999,BS Communications Technology,Smart,Female
name336,lastname336,April,11,1999,BS Information Technology Entrepreneurship,Smart,Male
name337,lastname337,December,8,1998,BS Management,Globe,Male
name338,lastname338,September,20,2001,BS Communications Technology,Globe,Male
name339,lastname339,April,22,2000,BS Information Technology Entrepreneurship,Smart,Female
name340,lastname340,June,4,1999,BS Legal Management,Globe,Female
name341,lastname341,August,22,1999,BS Management,Globe,Female
name342,lastname342,July,2,1999,BS Management,Globe,Male
name343,lastname343,December,18,1998,BS Legal Management,Globe,Male
name344,lastname344,July,13,2000,BS Information Technology Entrepreneurship,Smart,Male
name345,lastname345,April,19,1999,BS Information Technology Entrepreneurship,Smart,Male
name346,lastname346,July,19,2000,BS Information Technology Entrepreneurship,Globe,Female
name347,lastname347,March,21,1998,BS Information Technology Entrepreneurship,Smart,Male
name348,lastname348,January,13,1997,BS Information Technology Entrepreneurship,Globe,Female
name349,lastname349,February,18,1999,BS Management Engineering,Smart,Female
name350,lastname350,September,17,1997,BS Management Engineering,Globe,Male
name351,lastname351,December,21,1997,BS Legal Management,Globe,Female
name352,lastname352,February,28,1997,BS Management,Globe,Male
name353,lastname353,June,11,2001,BS Communications Technology,Globe,Female
name354,lastname354,February,16,1997,BS Information Technology Entrepreneurship,Smart,Female
name355,lastname355,April,1,1999,BS Communications Technology,Globe,Female
name356,lastname356,July,26,2001,BS Management,Smart,Male
name357,lastname357,August,5,1997,BS Communications Technology,Globe,Male
name358,lastname358,August,17,1999,BS Information Technology Entrepreneurship,Globe,Female
name359,lastname359,December,18,2000,BS Management,Globe,Female
name360,lastname360,May,11,1999,BS Management,Globe,Male
name361,lastname361,February,9,2001,BS Legal Managemnet,Smart,Male
name362,lastname362,September,27,2001,BS Management Engineering,Globe,Male
name363,lastname363,October,21,1997,BS Management,Globe,Male
name364,lastname364,January,8,1997,BS Management,Globe,Female
name365,lastname365,July,6,1999,BS Management Engineering,Globe,Female
name366,lastname366,November,13,1997,BS Information Technology Entrepreneurship,Smart,Male
name367,lastname367,May,15,1998,BS Information Technology Entrepreneurship,Globe,Male
name368,lastname368,June,22,2000,BS Information Technology Entrepreneurship,Globe,Male
name369,lastname369,March,1,2000,BS Management Engineering,Globe,Male
name370,lastname370,September,3,2001,BS Information Technology Entrepreneurship,Globe,Female
name371,lastname371,January,26,1998,BS Legal Managemnet,Globe,Female
name372,lastname372,August,25,1997,BS Communications Technology,Globe,Female
name373,lastname373,April,4,1998,BS Communications Technology,Globe,Male
name374,lastname374,March,6,1998,BS Communications Technology,Globe,Male
name375,lastname375,August,21,1999,BS Information Technology Entrepreneurship,Smart,Male
name376,lastname376,April,24,1998,BS Management Engineering,Globe,Male
name377,lastname377,February,9,1998,BS Information Technology Entrepreneurship,Globe,Female
name378,lastname378,December,5,1999,BS Communications Technology,Globe,Male
name379,lastname379,January,26,1997,BS Communications Technology,Globe,Male
name380,lastname380,March,12,1998,BS Management,Globe,Female
name381,lastname381,November,21,1998,BS Management,Smart,Female
name382,lastname382,June,14,1999,BS Information Technology Entrepreneurship,Globe,Female
name383,lastname383,July,27,1999,BS Management Engineering,Globe,Female
name384,lastname384,February,6,1997,BS Legal Management,Globe,Male
name385,lastname385,September,18,1998,BS Legal Management,Smart,Male
name386,lastname386,October,6,1999,BS Management Engineering,Globe,Female
name387,lastname387,June,16,1999,BS Management,Globe,Female
name388,lastname388,January,2,2000,BS Information Technology Entrepreneurship,Globe,Female
name389,lastname389,September,24,1999,BS Communications Technology,Globe,Female
name390,lastname390,January,21,2000,BS Management Engineering,Globe,Male
name391,lastname391,December,16,2000,BS Management,Globe,Female
name392,lastname392,August,2,1999,BS Information Technology Entrepreneurship,Globe,Male
name393,lastname393,June,28,1998,BS Legal Management,Globe,Female
name394,lastname394,June,13,1999,BS Information Technology Entrepreneurship,Globe,Female
name395,lastname395,January,23,2001,BS Management,Globe,Male
name396,lastname396,September,19,1999,BS Legal Management,Globe,Female
name397,lastname397,January,8,1999,BS Management Engineering,Smart,Male
name398,lastname398,September,2,1999,BS Legal Management,Globe,Male
name399,lastname399,August,25,2001,BS Management,Globe,Male
name400,lastname400,February,9,1999,BS Management,Globe,Female
name401,lastname401,October,3,1998,BS Management,Smart,Female
name402,lastname402,March,4,2001,BS Information Technology Entrepreneurship,Smart,Male
name403,lastname403,June,20,1998,BS Information Technology Entrepreneurship,Globe,Female
name404,lastname404,May,23,1997,BS Communications Technology,Globe,Male
name405,lastname405,November,4,1999,BS Management Engineering,Globe,Male
name406,lastname406,December,11,1998,BS Management Engineering,Smart,Female
name407,lastname407,May,17,1998,BS Management,Globe,Male
name408,lastname408,July,17,2001,BS Management,Globe,Female
name409,lastname409,August,1,1997,BS Management Engineering,Smart,Female
name410,lastname410,August,22,1997,BS Communications Technology,Globe,Male
name411,lastname411,February,20,1998,BS Information Technology Entrepreneurship,Globe,Male
name412,lastname412,February,10,1999,BS Management,Globe,Female
name413,lastname413,May,9,1997,BS Management Engineering,Globe,Male
name414,lastname414,June,5,2001,BS Information Technology Entrepreneurship,Globe,Male
name415,lastname415,November,15,1999,BS Information Technology Entrepreneurship,Globe,Female
name416,lastname416,May,25,1998,BS Communications Technology,Globe,Female
name417,lastname417,June,12,1997,BS Management Engineering,Globe,Male
name418,lastname418,February,22,1998,BS Information Technology Entrepreneurship,Globe,Female
name419,lastname419,February,14,1999,BS Management,Globe,Male
name420,lastname420,May,7,1999,BS Management,Smart,Female
name421,lastname421,June,27,2001,BS Communications Technology,Globe,Female
name422,lastname422,July,3,1997,BS Communications Technology,Globe,Male
name423,lastname423,September,14,2000,BS Management,Globe,Male
name424,lastname424,April,6,1998,BS Management,Smart,Female
name425,lastname425,April,14,1999,BS Management,Smart,Male
name426,lastname426,March,15,2000,BS Management Engineering,Globe,Female
name427,lastname427,November,13,1997,BS Management,Globe,Male
name428,lastname428,April,19,1998,BS Communications Technology,Smart,Male
name429,lastname429,November,10,2001,BS Communications Technology,Smart,Female
name430,lastname430,February,5,2001,BS Communications Technology,Globe,Female
name431,lastname431,June,5,1998,BS Management Engineering,Globe,Female
name432,lastname432,March,27,2001,BS Communications Technology,Globe,Female
name433,lastname433,November,17,1997,BS Management,Globe,Male
name434,lastname434,December,14,1997,BS Management Engineering,Globe,Male
name435,lastname435,August,23,2000,BS Information Technology Entrepreneurship,Globe,Male
name436,lastname436,January,13,1998,BS Information Technology Entrepreneurship,Globe,Male
name437,lastname437,February,28,2001,BS Communications Technology,Globe,Female
name438,lastname438,May,24,2000,BS Legal Management,Globe,Female
name439,lastname439,April,13,1998,BS Legal Management,Globe,Female
name440,lastname440,May,14,1997,BS Legal Management,Globe,Male
name441,lastname441,May,28,1999,BS Management Engineering,Globe,Female
name442,lastname442,July,23,1999,BS Communications Technology,Smart,Female
